Formula,Space group number,Band Gap (eV),Debye T (K)
B6Cl6Cs,148,3.26,453
B9CsO14,17,5.45,650
B5CsO8,61,5.94,510
B5CsO8,61,5.94,492
B5CsO8,62,5.95,539
B5CsO8,14,5.90,513
B3CsO5,19,5.30,373
BCsO2,167,3.85,223
BCs3S3,14,2.55,108
B3DyO6,62,5.64,361
B4Dy2O9,2,5.62,319
B6Dy4O15,15,5.45,310
B3ErO6,62,5.70,375
B5Er3O12,53,5.35,318
B4EuO7,31,2.04,635
B2EuO4,60,0.48,405
B2EuS4,14,1.00,257
BF4Li,152,8.25,299
B3GdO6,15,2.74,396
B4Gd2O9,2,2.82,352
BGdO3,155,2.05,350
B2HfO5,14,4.41,469
B3HoO6,62,5.66,368
B4Ho2O9,15,5.68,304
B6Ho4O15,15,5.53,315
B5KO8,61,4.28,627
B5KO8,61,4.28,596
B19K5O31,15,5.35,680
B3KO5,14,5.23,515
B4K2O7,2,4.82,515
BKO2,167,4.13,429
BKS2,167,2.77,221
B2K2S7,15,2.51,112
BK3S3,14,2.71,164
BLaN2,2,2.17,531
B4La5N9,57,1.31,475
B2La3N5,14,1.17,429
B5LaO9,14,4.49,433
B14La4O27,15,4.18,419
B3LaO6,15,4.54,395
B3LaO6,14,4.20,422
B10La4O21,14,4.14,373
BLi3N2,136,3.45,1002
BLi3N2,141,3.30,991
BLi3N2,14,3.37,930
B11Li3O18,14,5.54,660
B3LiO5,62,6.14,670
B3LiO5,33,6.35,639
B7Li3O12,2,5.60,630
B4Li2O7,110,5.67,652
BLiO2,14,5.23,583
BLiO2,122,7.28,783
BLiO2,122,7.28,791
B4Li6O9,14,4.90,640
B2Li4O5,15,4.97,673
B2Li2S5,63,2.44,334
BLi3S3,62,3.05,359
B3LuO6,62,5.87,392
B5Lu3O12,53,5.43,339
B9MgN,166,1.68,1161
BMg3N3,194,1.38,916
B4MgO7,61,5.74,689
B2Mg2O5,14,5.15,653
B2Mg2O5,2,5.09,650
BN2Na3,14,1.65,618
BN2Pr,167,2.11,580
B8Na2O13,14,5.45,689
B8Na2O13,14,5.45,688
B3NaO5,14,5.24,573
